x,y,z,delta de t
8.666,-15.842,-10.04,5
8.259,-21.41,-2.719,5
10.309,-21.193,-0.34,5
14.618,-15.662,-2.5,5
14.389,-14.07,-3.105,5
11.773,-11.078,-4.785,5
6.033,-5.967,-8.032,5
4.615,-3.884,-10.006,6
3.823,-2.038,-11.184,5
2.946,0.307,-11.061,5
3.625,0.447,-9.052,5
4.738,-0.009,-6.761,5
5.677,-0.145,-5.588,5
6.427,-0.313,-5.255,5
6.936,-0.501,-5.431,5
6.257,-0.711,-6.233,5
5.654,-0.852,-6.678,5
5.113,-0.934,-6.837,5
4.953,-0.23,-6.862,5
4.904,0.091,-7.004,5
4.991,-0.044,-7.288,5
6.326,-0.938,-7.327,5
7.352,-1.414,-7.287,5
7.562,-0.969,-7.152,5
6.36,-0.732,-6.591,5
5.255,-0.599,-6.25,5
5.514,-0.624,-6.892,5
5.997,-0.434,-7.095,5
6.613,-0.141,-7.089,5
7.529,0.107,-7.202,5
8.627,0.032,-7.67,5
9.433,0.11,-7.473,5
9.211,0.011,-7.572,5
8.013,-0.05,-6.962,5
5.803,-0.075,-5.616,5
5.264,-0.273,-5.337,6
5.296,-0.392,-5.319,5
6.061,-0.367,-5.603,5
6.476,-0.343,-5.784,5
6.899,-0.413,-6.018,5
7.516,-0.722,-6.438,5
7.762,-0.813,-6.405,5
7.831,-0.875,-6.207,5
7.707,-1.159,-6.01,5
7.731,-1.233,-5.945,5
7.84,-1.175,-5.953,5
7.914,-1.027,-5.916,5
7.877,-0.892,-5.925,5
7.741,-0.769,-5.974,5
7.3,-0.82,-5.993,5
6.851,-0.876,-6.012,5
6.65,-0.931,-5.912,5
6.325,-1.337,-5.823,5
6.253,-1.682,-5.887,5
6.76,-1.794,-6.27,5
6.857,-2.009,-6.463,5
6.884,-2.208,-6.582,5
7.093,-2.232,-6.644,5
7.402,-2.249,-6.656,5
7.713,-2.26,-6.631,5
7.664,-2.26,-6.508,5
7.322,-2.26,-6.371,5
6.76,-2.26,-6.226,5
6.636,-2.297,-6.362,6
6.473,-2.277,-6.509,5
6.263,-2.191,-6.669,5
6.266,-2.138,-6.74,5
6.26,-2.128,-6.753,5
6.199,-2.19,-6.679,5
6.376,-2.182,-6.655,5
6.528,-2.148,-6.649,5
6.442,-2.086,-6.661,5
6.39,-1.998,-6.673,5
6.357,-1.909,-6.704,5
6.345,-1.872,-6.84,5
6.384,-1.82,-6.917,5
6.456,-1.755,-6.946,5
6.481,-1.619,-6.823,5
6.45,-1.52,-6.748,5
6.364,-1.459,-6.724,5
6.301,-1.327,-6.781,5
6.292,-1.244,-6.818,5
6.366,-1.244,-6.818,5
7.449,3.351,-11.3,5
7.511,7.483,-15.791,5
4.622,8.384,-18.26,5
4.462,6.464,-12.998,5
5.149,3.913,-6.458,5
5.334,2.925,-6.174,5
5.857,0.893,-6.495,5
6.473,-1.625,-7.071,5
6.017,-2.946,-6.663,5
7.656,-3.395,-6.12,6
9.257,-2.978,-5.599,5
8.609,-3.102,-5.592,5
7.854,-3.041,-5.879,5
6.965,-2.72,-6.546,5
6.998,-2.204,-6.605,5
7.09,-1.725,-6.6,5
7.04,-1.379,-6.637,5
7.116,-1.206,-6.76,5
7.133,-0.936,-6.823,5
6.824,-0.158,-6.588,5
