# Accelerometer Data File
# Started @Mon May 08 23:02:38 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.921 7.817 0.076 5
-0.961 7.833 0.069 5
-1.06 7.769 0.057 5
-1.181 7.738 0.075 5
-1.295 7.699 0.189 5
-1.349 7.69 0.296 5
-1.33 7.651 0.374 5
-1.3 7.602 0.421 5
-1.215 7.552 0.408 5
-1.104 7.565 0.432 5
-1.023 7.582 0.489 5
-0.99 7.606 0.522 5
-0.957 7.615 0.555 5
-0.97 7.617 0.581 5
-0.939 7.604 0.648 5
-0.942 7.571 0.745 5
-0.957 7.498 0.843 5
-1.016 7.44 0.985 5
-1.03 7.373 1.115 5
-0.976 7.342 1.206 5
-0.976 7.339 1.245 5
-0.892 7.354 1.228 5
-0.894 7.333 1.277 5
-0.893 7.324 1.212 6
-0.924 7.349 1.049 5
-0.937 7.447 0.959 5
-0.928 7.489 0.929 5
-0.889 7.498 0.91 5
-0.82 7.493 0.919 5
-0.717 7.367 0.943 5
-0.528 7.233 1.041 5
-0.404 7.135 1.185 5
-0.382 7.072 1.329 5
-0.506 7.004 1.531 5
-0.604 6.971 1.703 5
-0.791 6.958 1.922 5
-1.049 6.896 2.18 5
-1.254 6.929 2.477 5
-1.35 7.043 2.754 5
-1.344 7.213 2.926 5
-1.338 7.465 2.96 5
-1.321 7.722 2.767 5
-1.404 7.955 2.39 5
-1.506 8.092 1.795 5
-1.554 8.159 1.064 5
-1.57 8.176 0.42 5
-1.639 8.197 -0.114 5
-1.836 8.216 -0.476 5
-2.015 8.124 -0.579 5
-1.998 8.051 -0.562 5
-1.754 7.931 -0.473 5
-1.536 7.78 -0.124 6
-1.343 7.595 0.625 5
-1.185 7.558 1.479 5
-0.973 7.635 2.332 5
-0.697 7.725 3.237 5
-0.624 7.783 4.12 5
-0.565 7.87 4.84 5
-0.631 8.044 5.363 5
-0.813 8.343 5.446 5
-1.085 8.66 5.131 5
-1.458 8.914 4.405 5
-1.798 9.101 3.453 5
-2.218 9.157 2.594 5
-2.498 9.218 1.937 5
-2.707 9.249 1.551 5
-2.677 9.278 1.444 5
-2.459 9.232 1.564 5
-1.975 9.089 1.866 5
-1.331 8.863 2.248 5
-0.578 8.543 2.891 5
0.055 8.365 3.796 5
0.551 8.444 4.795 5
0.783 8.684 5.702 5
0.715 9.031 6.203 5
0.367 9.396 6.32 5
-0.233 9.712 5.982 5
-0.91 9.991 5.278 5
-1.419 10.177 4.617 5
-1.853 10.333 4.011 6
-2.269 10.478 3.656 5
-2.66 10.546 3.593 5
-2.955 10.594 3.653 5
-3.19 10.594 3.807 5
-4.037 10.119 4.364 5
-3.14 10.418 4.467 5
-2.578 10.604 4.661 5
-2.275 10.701 5.041 5
-1.897 10.878 5.309 5
-1.523 11.041 5.562 5
-1.343 11.027 5.713 5
-1.26 10.873 5.663 5
-1.151 10.69 5.449 5
-1.016 10.633 5.265 5
-0.976 10.649 5.111 5
-0.988 10.63 5.081 5
-1.142 10.645 5.153 5
-1.375 10.694 5.223 5
-1.637 10.779 5.247 5
-1.932 10.83 5.327 5
-2.307 10.888 5.439 5
-2.565 10.962 5.522 5
-2.596 11.073 5.692 5
-2.345 11.134 5.808 5
