# Accelerometer Data File
# Started @Mon May 08 23:01:21 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.989 8.472 2.2 5
0.923 8.512 2.407 5
0.813 8.55 2.868 5
0.729 8.618 3.365 5
0.689 8.629 3.994 5
0.601 8.647 4.542 5
0.482 8.607 4.944 5
0.34 8.58 5.238 5
0.274 8.574 5.357 5
0.189 8.573 5.31 5
0.153 8.615 5.06 5
0.112 8.625 4.803 5
0.226 8.64 4.451 5
0.35 8.605 4.134 6
0.516 8.58 3.927 5
0.676 8.629 3.864 5
0.788 8.657 3.86 5
0.855 8.611 3.791 5
0.878 8.494 3.789 5
0.816 8.335 3.747 5
0.718 8.151 3.723 5
0.569 7.981 3.681 5
0.347 7.862 3.703 5
0.113 7.78 3.769 5
-0.07 7.724 3.907 5
-0.152 7.661 4.078 5
-0.186 7.642 4.254 5
-0.151 7.693 4.408 5
-0.056 7.784 4.474 5
0.064 7.854 4.477 5
0.155 7.899 4.411 5
0.204 7.997 4.374 5
0.262 8.042 4.35 5
0.315 8.127 4.399 5
0.268 8.168 4.523 5
0.254 8.192 4.749 5
0.249 8.235 5.13 5
0.235 8.207 5.471 5
0.228 8.215 5.612 5
0.226 8.182 5.503 5
0.278 8.138 5.262 5
0.41 8.114 4.917 6
0.544 8.089 4.6 5
0.714 8.117 4.363 5
0.735 8.265 4.132 5
0.817 8.278 3.928 5
0.922 8.18 3.646 5
0.939 8.14 3.372 5
0.923 8.207 3.188 5
0.84 8.287 3.16 5
0.758 8.347 3.238 5
0.691 8.375 3.408 5
0.716 8.434 3.684 5
0.752 8.434 4.012 5
0.749 8.427 4.325 5
0.702 8.385 4.67 5
0.653 8.353 5.076 5
0.563 8.276 5.446 5
0.403 8.217 5.478 5
0.305 8.206 5.342 5
0.218 8.209 5.146 5
0.176 8.251 4.919 5
0.12 8.215 4.705 5
0.2 8.176 4.6 5
0.309 8.128 4.515 5
0.431 8.103 4.432 5
0.482 8.131 4.372 5
0.489 8.204 4.318 5
0.548 8.236 4.37 5
0.708 8.198 4.367 6
0.839 8.11 4.275 5
0.923 8.103 4.181 5
0.958 8.089 4.09 5
1.003 8.143 4.06 5
1.066 8.178 4.074 5
0.993 8.214 4.135 5
0.992 8.288 4.347 5
1.048 8.309 4.582 5
1.12 8.293 4.771 5
1.102 8.307 5.003 5
0.977 8.37 5.152 5
0.846 8.312 5.185 5
0.773 8.271 5.171 5
0.7 8.173 5.156 5
0.665 8.137 5.074 5
0.551 8.088 5.036 5
0.32 8.051 4.963 5
0.093 7.992 4.907 5
-0.122 7.938 4.861 5
-0.291 7.899 4.854 5
-0.344 7.91 4.906 5
-0.248 7.948 4.98 5
0.011 7.993 4.945 5
0.424 8.115 4.852 5
0.699 8.252 4.698 5
0.913 8.403 4.481 5
1.062 8.584 4.242 5
1.172 8.73 4.107 5
1.311 8.876 4.132 6
1.37 8.941 4.309 5
1.417 8.934 4.579 5
1.389 8.888 4.832 5
1.263 8.771 5.018 5
1.029 8.639 5.07 5
0.81 8.48 5.004 5
0.735 8.333 4.867 5
0.724 8.228 4.767 5
0.662 8.131 4.736 5
0.491 8.058 4.601 5
0.282 7.974 4.539 5
0.113 7.941 4.539 5
-0.032 7.927 4.478 5
-0.053 7.99 4.349 5
0.019 8.025 4.328 5
0.126 8.112 4.366 5
0.153 8.171 4.557 5
0.169 8.229 4.729 5
0.235 8.251 4.752 5
0.273 8.195 4.769 5
0.261 8.122 4.769 5
0.268 8.049 4.769 5
0.359 8.01 4.757 5
0.456 7.904 4.779 5
0.526 7.824 4.755 5
0.46 7.795 4.75 5
0.41 7.757 4.724 5
0.326 7.788 4.592 6
0.372 7.86 4.416 5
0.347 7.954 4.274 5
0.407 8.027 4.104 5
0.578 8.076 4.117 5
0.703 8.1 4.243 5
0.712 8.109 4.39 5
0.763 8.14 4.423 5
0.889 8.111 4.557 5
0.86 8.121 4.674 5
0.742 8.121 4.744 5
0.674 8.11 4.773 5
0.521 8.133 4.839 5
0.387 8.124 4.844 5
0.17 8.202 4.805 5
0.001 8.311 4.794 5
0.069 8.367 4.825 5
0.256 8.396 4.919 5
0.323 8.472 4.921 5
0.463 8.551 4.941 5
0.614 8.6 4.977 5
0.687 8.657 4.788 5
0.728 8.668 4.639 5
0.744 8.644 4.469 5
0.749 8.614 4.276 5
0.759 8.566 4.12 5
0.747 8.554 4.048 5
0.729 8.579 4.023 5
0.732 8.619 4.041 6
0.783 8.592 4.154 5
0.795 8.547 4.294 5
0.784 8.445 4.407 5
0.717 8.342 4.528 5
0.646 8.231 4.607 5
0.533 8.118 4.632 5
0.292 8.015 4.595 5
0.114 7.907 4.57 5
-0.005 7.897 4.571 5
-0.089 7.91 4.524 5
-0.053 7.925 4.593 5
-0.064 7.892 4.681 5
-0.024 7.857 4.754 5
0.194 7.873 4.692 5
0.337 8.0 4.632 5
0.385 8.125 4.545 5
0.434 8.207 4.536 5
0.517 8.223 4.484 5
0.503 8.267 4.515 5
0.429 8.267 4.502 5
0.296 8.327 4.535 5
0.264 8.316 4.654 5
0.231 8.367 4.812 5
0.239 8.436 5.017 5
0.248 8.542 5.113 5
0.194 8.544 5.059 5
0.142 8.557 4.975 5
0.102 8.599 4.765 6
0.111 8.565 4.644 5
0.062 8.599 4.522 5
0.063 8.625 4.425 5
0.148 8.656 4.423 5
0.203 8.699 4.512 5
0.258 8.723 4.725 5
0.254 8.748 4.898 5
0.267 8.733 4.96 5
0.211 8.678 4.93 5
0.156 8.616 4.849 5
0.147 8.567 4.791 5
0.264 8.565 4.752 5
0.413 8.585 4.798 5
0.522 8.561 4.858 5
0.698 8.543 4.918 5
0.797 8.527 4.907 5
0.834 8.542 4.836 5
0.766 8.528 4.769 5
0.727 8.465 4.692 5
0.628 8.427 4.632 5
0.37 8.46 4.502 5
0.287 8.42 4.363 5
0.18 8.329 4.172 5
0.133 8.378 3.944 5
0.28 8.573 3.774 5
0.414 8.707 3.699 5
0.471 8.722 3.831 5
0.554 8.64 4.102 5
0.666 8.513 4.362 6
0.67 8.446 4.618 5
0.623 8.405 4.738 5
0.468 8.329 4.846 5
0.242 8.264 4.878 5
0.108 8.255 4.795 5
0.035 8.262 4.86 5
0.063 8.299 4.871 5
0.167 8.33 4.883 5
0.307 8.335 4.757 5
0.374 8.36 4.648 5
0.364 8.341 4.419 5
0.305 8.311 4.191 5
0.226 8.249 4.037 5
0.106 8.213 3.962 5
0.025 8.246 3.929 5
0.033 8.279 4.103 5
0.187 8.327 4.362 5
0.384 8.363 4.655 5
0.62 8.388 4.91 5
0.717 8.343 5.095 5
0.738 8.294 5.199 5
0.699 8.245 5.185 5
0.472 8.216 4.955 5
0.14 8.155 4.65 5
-0.046 8.145 4.342 5
-0.143 8.259 4.187 5
-0.139 8.428 4.198 5
0.022 8.64 4.427 6
0.242 8.772 4.685 5
0.432 8.773 4.859 5
0.441 8.733 4.868 5
0.422 8.601 4.742 5
0.316 8.513 4.601 5
0.249 8.365 4.42 5
0.237 8.207 4.256 5
0.134 8.118 4.153 5
-0.02 8.085 4.105 5
-0.229 8.085 4.156 5
-0.378 8.132 4.209 5
-0.363 8.242 4.367 5
-0.182 8.4 4.495 5
-0.005 8.604 4.644 5
0.189 8.742 4.815 5
0.385 8.776 4.971 5
0.459 8.79 4.939 5
0.417 8.758 4.818 5
0.331 8.728 4.568 5
0.339 8.598 4.349 5
0.424 8.461 4.139 5
0.41 8.42 4.133 5
0.351 8.369 4.086 5
0.363 8.332 4.169 5
0.228 8.234 4.327 5
0.088 8.14 4.509 5
-0.082 8.092 4.631 5
-0.134 7.985 4.791 6
-0.189 7.923 4.931 5
-0.207 7.943 5.037 5
-0.174 8.0 5.021 5
-0.112 8.075 4.92 5
-0.05 8.174 4.716 5
0.134 8.248 4.558 5
0.264 8.328 4.52 5
